model,scaling,feature_selection,balancing,min_across_tasks,max_across_tasks,mean_across_tasks,std_across_tasks,range,n_tasks
XGBoost,none,mutual_info,undersample,0.8735064935064936,0.992107892107892,0.9442257409149728,0.04626348001748871,0.1186013986013984,6
XGBoost,standard,f_classif,smote,0.8734891774891775,1.0,0.9485770417420034,0.05467045631998179,0.12651082251082246,6
XGBoost,log,mutual_info,smote,0.8734891774891775,0.999809523809524,0.9440153708184399,0.05060964317048939,0.1263203463203465,6
LightGBM,standard,differential,undersample,0.8734539969834089,0.9895104895104896,0.9387740046847286,0.0461403165744732,0.11605649252708072,6
XGBoost,none,f_classif,smote,0.8734372294372296,1.0,0.9480343267337491,0.05516772133126157,0.12656277056277043,6
XGBoost,log,f_classif,undersample,0.8730580693815989,1.0,0.9471213228408616,0.051657282686402455,0.1269419306184011,6
LightGBM,log,mutual_info,smote,0.8728506787330316,0.9994263820470716,0.9451715683133797,0.04852654968464894,0.12657570331404,6
XGBoost,log,f_classif,smote,0.8725194805194805,1.0,0.9519408210635171,0.05100277407697316,0.12748051948051953,6
XGBoost,robust,f_classif,undersample,0.8720865800865802,1.0,0.9462063600348722,0.0550787224174602,0.12791341991341976,6
XGBoost,none,f_classif,undersample,0.8720865800865802,1.0,0.9462063600348722,0.0550787224174602,0.12791341991341976,6
XGBoost,standard,f_classif,undersample,0.8720865800865802,1.0,0.9462063600348722,0.0550787224174602,0.12791341991341976,6
XGBoost,none,f_classif,none,0.8714805194805196,1.0,0.9486494894198837,0.05512261591324578,0.12851948051948037,6
XGBoost,robust,f_classif,none,0.8714805194805196,1.0,0.9486494894198837,0.05512261591324578,0.12851948051948037,6
XGBoost,standard,f_classif,none,0.8714805194805196,1.0,0.9486494894198837,0.05512261591324578,0.12851948051948037,6
LightGBM,standard,f_classif,smote,0.8711168831168831,0.999808429118774,0.9435628473038298,0.053202819766192705,0.12869154600189092,6
LightGBM,none,differential,undersample,0.8711161387631975,0.9882117882117882,0.9330325180171727,0.04392316318503292,0.11709564944859074,6
LightGBM,log,differential,undersample,0.8711161387631975,0.9882117882117882,0.936169226719099,0.04286854490537315,0.11709564944859074,6
LightGBM,robust,mutual_info,none,0.8702683982683983,0.9990443349753694,0.948518899533407,0.04996603567253173,0.12877593670697107,6
LightGBM,log,random_forest,smote,0.869974025974026,0.999809523809524,0.9439361661356548,0.05127528173184546,0.12983549783549808,6
XGBoost,none,variance,none,0.8696277056277056,0.999808429118774,0.9495361690233152,0.05069809334434955,0.13018072349106835,6
XGBoost,log,differential,none,0.8695238095238096,0.9992337164750958,0.9439707696501726,0.052907262584350544,0.12970990695128626,6
XGBoost,standard,differential,none,0.8695238095238096,0.9992337164750958,0.9439734046962859,0.052907420476184776,0.12970990695128626,6
XGBoost,robust,differential,none,0.8695238095238096,0.9992337164750958,0.9439734046962859,0.052907420476184776,0.12970990695128626,6
XGBoost,none,differential,none,0.8695238095238096,0.9992337164750958,0.9439734046962859,0.052907420476184776,0.12970990695128626,6
LightGBM,robust,f_classif,none,0.8689856711915536,0.9996179529282978,0.9451601905686923,0.055571620255123425,0.13063228173674424,6
XGBoost,none,variance,undersample,0.8685331825037708,0.996003996003996,0.9420999165492375,0.05211016458929529,0.12747081350022527,6
LightGBM,standard,random_forest,smote,0.8681561085972851,0.9996190476190476,0.9426491268748302,0.05323920539670952,0.13146293902176254,6
XGBoost,log,differential,undersample,0.8676659125188536,0.9934065934065934,0.9406258055987969,0.052351986800180855,0.12574068088773982,6
LightGBM,log,f_classif,smote,0.8673419913419913,0.9996179529282978,0.9424207798657265,0.053717655669297044,0.1322759615863065,6
XGBoost,none,none,smote,0.8672034632034633,0.999616858237548,0.9469439657795112,0.04776821159632304,0.13241339503408467,6
XGBoost,standard,mutual_info,smote,0.8670129870129871,1.0,0.9477426155117971,0.04800950293595287,0.13298701298701288,6
